"Country_clean","Actinomycetoma","Eumycetoma","Not_reported","Unidentified"
"Argentina",59,70,1,0
"Brazil",38,36,26,29
"Bulgaria",8,5,5,0
"C̫te d'Ivoire",32,32,23,0
"Ethiopia",0,10,102,0
"India",290,114,42,23
"Iran",35,14,1,12
"Kenya",1,5,52,0
"Mali",3,16,0,0
"Mexico",6088,201,138,45
"Morocco",3,3,6,0
"Saudi Arabia",14,45,0,13
"Senegal",60,109,0,137
"Sudan",1725,11476,1662,8
"Togo",9,24,0,0
"Tunisia",24,17,0,10
"Uganda",22,221,0,6
"United Arab Emirates",13,7,0,0
"United Kingdom",0,5,38,0
"Venezuela",15,1,25,12
"West Africa",12,15,0,19
"Yemen",68,154,26,6
